標題,筆記,網址,標籤,留言,緯度(Latitude),經度(Longitude),地點名稱(Place Name),星級評分(Rating),網站,簡介,原文名稱,英文名稱
日本銀行舊小樽支店金融資料館,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E9%8A%80%E8%A1%8C%E8%88%8A%E5%B0%8F%E6%A8%BD%E6%94%AF%E5%BA%97%E9%87%91%E8%9E%8D%E8%B3%87%E6%96%99%E9%A4%A8/data=!4m2!3m1!1s0x5f0ae05240553f8b:0xe54eab78ed137e2a,,,43.1961722,141.0004638,日本銀行舊小樽支店金融資料館,4.2,http://www3.boj.or.jp/otaru-m/,約建於 1912 年、原為銀行的金融博物館，有著銀行業務與國家貨幣的展出品。,日本銀行舊小樽支店金融資料館,The Bank of Japan Otaru Museum
小樽蒸汽鐘,,https://www.google.com/maps/place/%E5%B0%8F%E6%A8%BD%E8%92%B8%E6%B1%BD%E9%90%98/data=!4m2!3m1!1s0x5f0ae05af64c3c0f:0x4311ab7ac684dc76,,,43.190662,141.007666,小樽蒸汽鐘,4.5,https://www.otaru-orgel.co.jp/steam-clock,,小樽蒸汽鐘,Otaru Steam Clock
小樽音樂盒堂本館,,https://www.google.com/maps/place/%E5%B0%8F%E6%A8%BD%E9%9F%B3%E6%A8%82%E7%9B%92%E5%A0%82%E6%9C%AC%E9%A4%A8/data=!4m2!3m1!1s0x5f0ae05a517bc57d:0x2625d06b6a495753,,,43.1905785,141.007792,小樽音樂盒堂本館,4.4,http://www.otaru-orgel.co.jp/,,小樽音樂盒堂本館,"Orgel Doh Co., Ltd."
羊蹄山,,https://www.google.com/maps/place/%E7%BE%8A%E8%B9%84%E5%B1%B1/data=!4m2!3m1!1s0x5f0ab3d467a17fa5:0x7a8d8b7a7eeed95a,,,42.8269572,140.8067401,羊蹄山,4.6,,"高 6,227 英尺的對稱層狀火山，因山型酷似富士山而成為當地知名地標。",羊蹄山,Mount Yōtei
新雪谷村希爾頓酒店,,https://www.google.com/maps/place/%E6%96%B0%E9%9B%AA%E8%B0%B7%E6%9D%91%E5%B8%8C%E7%88%BE%E9%A0%93%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x5f0aafe6dd2b9abd:0xd51b46a08f7dadda,,,42.846761,140.684909,新雪谷村希爾頓酒店,4,https://www.hilton.com/en/hotels/ctsnvhi-hilton-niseko-village/?SEO_id=GMB-APAC-HI-CTSNVHI,"Polished rooms in a mountain hotel offering restaurants, bars & a spa, plus ski-in/ski-out access.",新雪谷村希爾頓酒店,Hilton Niseko Village
Niseko Village Ski Resort,,https://www.google.com/maps/place/Niseko+Village+Ski+Resort/data=!4m2!3m1!1s0x5f0aafefaf426a19:0x6463dabe605c4ca6,,,42.8469779,140.6843228,Niseko Village Ski Resort,4.1,https://www.niseko-village.com/,"Mountain getaway with skiing & snowboarding, plus elegant accommodations, hot springs & spas.",Niseko Village Ski Resort,Niseko Village Ski Resort
Hirafu Welcome Center,,https://www.google.com/maps/place/Hirafu+Welcome+Center/data=!4m2!3m1!1s0x5f0ab00c042b8ead:0x905598b2330e6bbf,,,42.8626029,140.6986668,Hirafu Welcome Center,4,,,Hirafu Welcome Center,Hirafu Welcome Center
苫小牧車站,,https://www.google.com/maps/place/%E8%8B%AB%E5%B0%8F%E7%89%A7%E8%BB%8A%E7%AB%99/data=!4m2!3m1!1s0x5f7510cf3a64ff63:0x30301e75cedf5c18,,,42.639739,141.596789,苫小牧車站,3.4,http://www.jrhokkaido.co.jp/,,苫小牧車站,Tomakomai Station
Tomakomai City Art Museum,,https://www.google.com/maps/place/Tomakomai+City+Art+Museum/data=!4m2!3m1!1s0x5f7510bf6e657951:0xa1ba8bbbb4826c59,,,42.6374954,141.6129542,Tomakomai City Art Museum,4,http://www.city.tomakomai.hokkaido.jp/hakubutsukan/,"Modern, expansive museum with displays covering topics such as prehistoric fossils & Ainu culture.",Tomakomai City Art Museum,Tomakomai City Art Museum
出光文化公園,,https://www.google.com/maps/place/%E5%87%BA%E5%85%89%E6%96%87%E5%8C%96%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x5f7510c086e70663:0x202dbfebef2e98f3,,,42.636386,141.61137,出光文化公園,3.9,https://www.city.tomakomai.hokkaido.jp/shizen/koen/shisetsu/bunkakoen2.html,,出光文化公園,Idemitsu Culture Park
苫小牧中央公園,,https://www.google.com/maps/place/%E8%8B%AB%E5%B0%8F%E7%89%A7%E4%B8%AD%E5%A4%AE%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x5f7511e1000e151b:0xb3d624065ad2c020,,,42.6381828,141.6069398,苫小牧中央公園,3.7,,,苫小牧中央公園,Tomakomai Chūō Park
苫小牧市汐見・ふるさと海岸,,https://www.google.com/maps/place/%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82%E6%B1%90%E8%A6%8B%E3%83%BB%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E6%B5%B7%E5%B2%B8/data=!4m2!3m1!1s0x5f7510e67c392ba3:0xa430f178dd7599c9,,,42.6275602,141.6098854,苫小牧市汐見・ふるさと海岸,4,http://www.jptmk.com/040citizens/index.html,,苫小牧市汐見・ふるさと海岸,苫小牧市汐見・ふるさと海岸
Koko Hotel Tomakomai,,https://www.google.com/maps/place/Koko+Hotel+Tomakomai/data=!4m2!3m1!1s0x5f7510c8a853669f:0x33599fe8a7716fff,,,42.6393189,141.5997725,Koko Hotel Tomakomai,4.1,https://koko-hotels.com/tomakomai/,簡樸旅館，提供附免費 Wi-Fi 的當代風格客房住宿，並附設餐廳。,Koko Hotel Tomakomai,Koko Hotel Tomakomai
札幌市時計台,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E5%B8%82%E6%99%82%E8%A8%88%E5%8F%B0/data=!4m2!3m1!1s0x5f0b297627507247:0x1b9ba84a4b04cdeb,,,43.0625537,141.3536448,札幌市時計台,3.9,http://sapporoshi-tokeidai.jp/,這座具代表性的木造鐘樓建於 1878 年，現在內部設有關於札幌歷史的博物館。,札幌市時計台,Sapporo Clock Tower
札幌電視塔,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E9%9B%BB%E8%A6%96%E5%A1%94/data=!4m2!3m1!1s0x5f0b299d5f87648d:0xe2041a78c3222031,,,43.0611129,141.3564484,札幌電視塔,4.1,https://www.tv-tower.co.jp/,著名的電視塔，建於 1950 年代，有可欣賞城市全景的觀景台。,札幌電視塔,Sapporo TV Tower
Sankaku Market,,https://www.google.com/maps/place/Sankaku+Market/data=!4m2!3m1!1s0x5f0ae1acdc5d6be7:0xfdb67ce7ef454872,,,43.1983904,140.9939062,Sankaku Market,3.9,http://otaru-sankaku.com/access.html,樸實的市集，有販售水果、蔬菜、海鮮與熟食的攤販。,Sankaku Market,Sankaku Market
似鳥美術館,,https://www.google.com/maps/place/%E4%BC%BC%E9%B3%A5%E7%BE%8E%E8%A1%93%E9%A4%A8/data=!4m2!3m1!1s0x5f0ae1e2e07d4bed:0x798514c2a28f2af8,,,43.1972362,141.0018641,似鳥美術館,4.5,https://www.nitorihd.co.jp/otaru-art-base/nitori-museum-of-art/,,似鳥美術館,Nitori Museum of Art
Otaru Bine,,https://www.google.com/maps/place/Otaru+Bine/data=!4m2!3m1!1s0x5f0ae0526f72b687:0xc6d536fe1b2530ec,,,43.196785,141.000772,Otaru Bine,4.1,https://www.otarubine.chuo-bus.co.jp/,"German & Italian cuisine, wines & deli items served inside a restored 19th-century bank building.",Otaru Bine,Otaru Bine
舊手宮線,,https://www.google.com/maps/place/%E8%88%8A%E6%89%8B%E5%AE%AE%E7%B7%9A/data=!4m2!3m1!1s0x5f0ae052a9f2e559:0x3dd27ba162c407fa,,,43.199064,140.998736,舊手宮線,4.1,https://otaru.gr.jp/shop/temiya-line,,舊手宮線,"Former Japanese National Railways, Temiya line"
Otaru Canal,,https://www.google.com/maps/place/Otaru+Canal/data=!4m2!3m1!1s0x5f0ae16457554cd1:0x4ee07ad75699721,,,43.2020231,141.0006005,Otaru Canal,4.4,https://www.city.otaru.lg.jp/docs/2020100900367/,,Otaru Canal,Otaru Canal
狸小路商店街,,https://www.google.com/maps/place/%E7%8B%B8%E5%B0%8F%E8%B7%AF%E5%95%86%E5%BA%97%E8%A1%97/data=!4m2!3m1!1s0x5f0b298314dc68c9:0x3e09837aece117a1,,,43.0569761,141.3505831,狸小路商店街,4.2,http://www.tanukikoji.or.jp/,歷史悠久的遮棚商店街，橫跨 7 個街區，共有約 200 家商店。,狸小路商店街,Tanukikoji Shopping Street
北海道廳本廳舍,,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E9%81%93%E5%BB%B3%E6%9C%AC%E5%BB%B3%E8%88%8D/data=!4m2!3m1!1s0x5f0b299f007507ad:0xbb215d6e0de69db7,,,43.0639656,141.3480242,北海道廳本廳舍,4.1,https://www.pref.hokkaido.lg.jp/,1880 年代的前政府大樓，由紅磚建造，有北海道歷史的展品。,北海道廳本廳舍,Former Hokkaido Government Office Building Red Brick Building
小樽市,,https://www.google.com/maps/place/%E5%B0%8F%E6%A8%BD%E5%B8%82/data=!4m2!3m1!1s0x5f0adfae98ef793b:0xa3e7b628d5ad9a1,,,43.1906806,140.9946021,小樽市,,,,小樽市,Otaru
北海道神宮,,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E9%81%93%E7%A5%9E%E5%AE%AE/data=!4m2!3m1!1s0x5f0b29dcc4f0a893:0xec8de2355b66d708,,,43.054333,141.3077928,北海道神宮,4.6,http://www.hokkaidojingu.or.jp/,建於 1869 年的蓊鬱神社，供奉著 4 尊神祇，其中包括明治天皇。,北海道神宮,Hokkaido Jingu
昭和新山,,https://www.google.com/maps/place/%E6%98%AD%E5%92%8C%E6%96%B0%E5%B1%B1/data=!4m2!3m1!1s0x5f9fe27250aacfc1:0xab4f4f43aed68055,,,42.5425537,140.8643525,昭和新山,4.3,,"Prominent lava dome standing at 1,306-ft. & emitting volcanic smoke into the air.",昭和新山,Shōwa-shinzan
Lake Toya sculpture park,,https://www.google.com/maps/place/Lake+Toya+sculpture+park/data=!4m2!3m1!1s0x5f75570fffffffff:0x3bb66cc7cc0cc68a,,,42.5662313,140.8212136,Lake Toya sculpture park,4.5,http://www.town.toyako.hokkaido.jp/tourism/art_culture/atc001/,,Lake Toya sculpture park,Lake Toya sculpture park
支笏湖,,https://www.google.com/maps/place/%E6%94%AF%E7%AC%8F%E6%B9%96/data=!4m2!3m1!1s0x5f753913215f72bb:0x7bd8ec9776a202d0,,,42.7538546,141.3275269,支笏湖,4.5,,火口湖，以其深度和澄澈的湖水聞名，適合從事划船、釣魚和觀光遊覽活動。,支笏湖,Lake Shikotsu
三井OUTLET PARK 札幌北廣島,,https://www.google.com/maps/place/%E4%B8%89%E4%BA%95OUTLET+PARK+%E6%9C%AD%E5%B9%8C%E5%8C%97%E5%BB%A3%E5%B3%B6/data=!4m2!3m1!1s0x5f74d50a08027ef3:0xef1586954c148c0d,,,42.9722381,141.4701078,三井OUTLET PARK 札幌北廣島,4,https://mitsui-shopping-park.com/mop/sapporo/,,三井OUTLET PARK 札幌北廣島,Mitsui Outlet Park Sapporo-Kitahiroshima
新千歲機場,,https://www.google.com/maps/place/%E6%96%B0%E5%8D%83%E6%AD%B2%E6%A9%9F%E5%A0%B4/data=!4m2!3m1!1s0x5f7520459d5c1add:0x1aba607ce5f681f6,,,42.7878079,141.6808693,新千歲機場,4.3,https://www.hokkaido-airports.com/ja/new-chitose/,"Northern Japan airport with a movie theater, a children's play area plus a stuffed-animal museum.",新千歲機場,New Chitose Airport
五稜郭跡,,https://www.google.com/maps/place/%E4%BA%94%E7%A8%9C%E9%83%AD%E8%B7%A1/data=!4m2!3m1!1s0x5f9ef46bcb8d5525:0xa9e4bd2d96c4d502,,,41.7955557,140.7547961,五稜郭跡,4.4,https://www.city.hakodate.hokkaido.jp/docs/2014011601161/,在江戶時代晚期建的櫻花公園，有護城河的五角星型堡壘。,五稜郭跡,Goryōkaku Fort
